,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_channelExponent,params_dropout,params_learning_rate,params_weight_decay,state
51,51,3.892265308470953,2024-04-29 13:39:54.374980,2024-04-29 14:01:10.414151,0 days 00:21:16.039171,0.8024318530624395,0.676815398567304,8,0.020905612889696938,0.001046500555659707,2.0574902998000277e-05,COMPLETE
52,52,3.882620023958611,2024-04-29 13:43:32.282625,2024-04-29 14:01:38.588483,0 days 00:18:06.305858,0.7978178506689678,0.6710689755989346,8,0.018240220258664144,0.0010630902620583054,2.0511997221147822e-05,COMPLETE
53,53,5.497132754429078,2024-04-29 13:49:12.556511,2024-04-29 14:08:26.078485,0 days 00:19:13.521974,0.7961810311673446,0.6551924363746335,8,0.13152582121143777,0.0056749590751972775,3.152535265897549e-05,COMPLETE
54,54,3.9420929966550884,2024-04-29 13:58:21.964355,2024-04-29 14:18:03.488189,0 days 00:19:41.523834,0.8959022161884287,0.6887142531223583,8,0.023341545065613638,0.0008833565299760099,3.423585618280929e-05,COMPLETE
55,55,4.360974379948208,2024-04-29 14:01:10.433203,2024-04-29 14:20:56.026620,0 days 00:19:45.593417,0.891115469548194,0.6846296104632701,8,0.023094399744782845,0.006956479506820829,5.955231639678479e-05,COMPLETE
56,56,4.5548563839553236,2024-04-29 14:01:38.603750,2024-04-29 14:20:23.363402,0 days 00:18:44.759652,0.8992438224443347,0.6027905916834557,8,0.001174454459121791,0.006138335989507077,5.7055399739605466e-05,COMPLETE
57,57,3.8546776854114615,2024-04-29 14:08:26.095122,2024-04-29 14:27:44.120485,0 days 00:19:18.025363,0.8993526155090236,0.7276025955084147,8,0.00027453019937972653,0.0017749352846314404,5.4315291021593825e-05,COMPLETE
58,58,6.010996189984408,2024-04-29 14:18:03.508646,2024-04-29 14:37:34.989078,0 days 00:19:31.480432,0.8381424328420882,0.7048207984131929,8,0.06141138311489732,0.006777088331665268,5.50402546233977e-05,COMPLETE
59,59,4.539906753606094,2024-04-29 14:20:23.377889,2024-04-29 14:39:10.064539,0 days 00:18:46.686650,0.8361423025299164,0.7145399352312686,8,0.06590263827947829,0.007481227582425419,1.386030281164729e-05,COMPLETE
60,60,5.24278956574279,2024-04-29 14:20:56.040378,2024-04-29 14:40:46.262646,0 days 00:19:50.222268,0.5668380662370334,0.7143577961565736,8,0.06686262773742511,0.0004952027448485347,9.797866174904902e-05,COMPLETE
61,61,4.013784514877187,2024-04-29 14:27:44.136460,2024-04-29 14:46:05.379507,0 days 00:18:21.243047,0.8363881157027637,0.7879979231227257,8,0.06270662816864947,0.00047053760054343273,9.550989797621254e-05,COMPLETE
62,62,4.851649988265264,2024-04-29 14:37:35.004432,2024-04-29 14:53:25.578109,0 days 00:15:50.573677,0.5708837579516165,0.6346976199485619,8,0.045225438419554724,0.0005017909545241811,1.4040472744561953e-05,COMPLETE
63,63,9.37000982895558,2024-04-29 14:39:10.078397,2024-04-29 14:53:42.623164,0 days 00:14:32.544767,0.5905199442454525,0.7496176340921398,8,0.3884883730780218,0.008654559347392187,2.8670983140321694e-05,COMPLETE
64,64,3.8881899495145458,2024-04-29 14:40:46.278205,2024-04-29 14:54:46.690241,0 days 00:14:00.412036,0.7349457562691132,0.8300886124707156,7,0.10673050468793385,0.0004288880518635161,1.3436159904553769e-05,COMPLETE
65,65,3.774005387252543,2024-04-29 14:46:05.394932,2024-04-29 14:57:03.479962,0 days 00:10:58.085030,0.7403882216306213,0.623801738979978,7,0.042261132312012006,0.00046047241308555504,2.751664817873354e-05,COMPLETE
66,66,5.6266434822247655,2024-04-29 14:53:25.600781,2024-04-29 15:01:33.749171,0 days 00:08:08.148390,0.7358663090910904,0.7477847871678955,7,0.4302163290291076,0.0011186678078768857,4.7071173736105055e-05,COMPLETE
67,67,3.840450774023543,2024-04-29 14:53:42.637575,2024-04-29 15:01:31.166191,0 days 00:07:48.528616,0.7338385945251062,0.8309620714314896,7,0.03519615708540107,0.00102703998706494,1.100913587401985e-06,COMPLETE
68,68,5.665768736884708,2024-04-29 14:54:46.706287,2024-04-29 15:02:16.809577,0 days 00:07:30.103290,0.7831773462373081,0.8645837527356712,7,0.4866246726359056,0.0015226733113804021,1.2122574068674728e-06,COMPLETE
69,69,4.404894326156352,2024-04-29 14:57:03.505684,2024-04-29 15:03:58.705002,0 days 00:06:55.199318,0.7801206117317916,0.9068834890484414,7,0.2093867572929175,0.0010500884646026084,8.927971899690103e-06,COMPLETE
70,70,6.823784163503936,2024-04-29 15:01:31.182868,2024-04-29 15:09:20.434705,0 days 00:07:49.251837,0.7823994818594107,0.909843737840131,4,0.20044778357448437,0.009862470074630186,9.86762510879727e-06,COMPLETE
71,71,6.8585621784259745,2024-04-29 15:01:33.766376,2024-04-29 15:10:09.703096,0 days 00:08:35.936720,0.7799977975801022,0.7862342387668432,4,0.2107316730875043,0.001594003623825031,7.1167433125055656e-06,COMPLETE
72,72,3.538511039890768,2024-04-29 15:02:16.825659,2024-04-29 15:14:33.784023,0 days 00:12:16.958364,0.8791729741218499,0.9126382892974744,8,0.11585913808620417,0.0001030346751230025,1.0568502547344978e-05,COMPLETE
73,73,3.6359029125857663,2024-04-29 15:03:58.721195,2024-04-29 15:17:55.338876,0 days 00:13:56.617681,0.6240776591673087,0.9452862254761094,8,0.11024549457041286,0.00015140300285856027,8.342177378914792e-06,COMPLETE
74,74,3.8913697061084567,2024-04-29 15:09:20.454242,2024-04-29 15:25:37.346224,0 days 00:16:16.891982,0.8774022549248929,0.9837115885038336,7,0.09815423430061573,0.00012479693687269115,6.398582329890709e-06,COMPLETE
75,75,4.184095184524338,2024-04-29 15:10:09.717523,2024-04-29 15:28:30.345506,0 days 00:18:20.627983,0.7000038800154057,0.9907162520595186,8,0.11632759696296913,0.00032057427243320925,3.6889880542703948e-06,COMPLETE
76,76,3.6692314395656833,2024-04-29 15:14:33.798633,2024-04-29 15:33:01.969345,0 days 00:18:28.170712,0.880057746351943,0.9845796937185403,8,0.1402171595126551,0.00017012779817171346,2.1966704058581617e-05,COMPLETE
77,77,3.997158832880326,2024-04-29 15:17:55.356303,2024-04-29 15:37:23.090232,0 days 00:19:27.733929,0.8683310581919279,0.877329151869637,8,0.1405679369499708,0.000336363845463916,1.8292656929817e-05,COMPLETE
78,78,3.8454871652446267,2024-04-29 15:25:37.361920,2024-04-29 15:46:18.565216,0 days 00:20:41.203296,0.8738412218953723,0.9801365540926232,8,0.13836781404207268,0.0003716954396626547,3.634100522511686e-05,COMPLETE
