,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
88,88,0.014332888135888101,2024-05-01 14:29:50.060800,2024-05-01 14:31:29.584713,0 days 00:01:39.523913,0.7080744667070655,0.7761280559662168,512,0.00014058007174230541,2,2,6.82767976319025e-05,COMPLETE
89,89,0.016679690304127606,2024-05-01 14:30:22.159317,2024-05-01 14:32:11.849647,0 days 00:01:49.690330,0.7187034301116509,0.7582913552876565,512,0.0001851988289802831,2,2,6.458272408915302e-06,COMPLETE
90,90,0.012331553879980143,2024-05-01 14:30:42.914210,2024-05-01 14:32:14.983015,0 days 00:01:32.068805,0.7051300393726143,0.7830670857513199,256,0.0011341124565160193,2,2,7.109918783890253e-05,COMPLETE
91,91,0.010471607576571888,2024-05-01 14:31:16.043146,2024-05-01 14:32:45.769414,0 days 00:01:29.726268,0.8545032696819168,0.8129930254858294,256,0.0011169641712827911,2,2,7.121382609983335e-05,COMPLETE
92,92,0.009989913559047046,2024-05-01 14:31:29.640582,2024-05-01 14:33:11.462812,0 days 00:01:41.822230,0.8472337383122169,0.921870365730469,256,0.0012289980751640811,2,2,2.7104366914909534e-05,COMPLETE
93,93,0.014256593938594386,2024-05-01 14:31:38.992792,2024-05-01 14:35:13.570753,0 days 00:03:34.577961,0.6123993123699794,0.9136843860004087,256,0.0013341776268104176,2,1,2.7514048431862254e-05,COMPLETE
94,94,0.011207429367597357,2024-05-01 14:32:11.946605,2024-05-01 14:34:05.381118,0 days 00:01:53.434513,0.7748222616402352,0.8804670799249272,256,0.0013694449567026256,2,2,3.122309588165457e-05,COMPLETE
95,95,0.011794255875067149,2024-05-01 14:32:15.039005,2024-05-01 14:33:33.513913,0 days 00:01:18.474908,0.7553064669477538,0.9044173389110027,256,0.0012186919514833067,2,1,7.099698107709556e-05,COMPLETE
96,96,0.013555897137722669,2024-05-01 14:32:18.425200,2024-05-01 14:34:07.693270,0 days 00:01:49.268070,0.6219474425018305,0.9182984451429596,256,0.0012826059384262083,2,1,2.847236416511833e-05,COMPLETE
97,97,0.010334681459496935,2024-05-01 14:32:45.831317,2024-05-01 14:34:03.403505,0 days 00:01:17.572188,0.8519689237913245,0.9143880433035861,256,0.0014541599436030677,2,1,7.420881879774891e-05,COMPLETE
98,98,0.009885835209337277,2024-05-01 14:33:11.517488,2024-05-01 14:35:05.829065,0 days 00:01:54.311577,0.8588327954079402,0.9161660333690891,256,0.0017003013426991737,2,1,2.970859356339821e-05,COMPLETE
99,99,0.010086189354749727,2024-05-01 14:33:19.207412,2024-05-01 14:35:55.489099,0 days 00:02:36.281687,0.8572297167361824,0.9268897863637062,256,0.002006655705415083,2,1,2.844568842915793e-05,COMPLETE
