,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
422,422,0.008414173924094026,2024-04-30 12:36:32.390091,2024-04-30 12:38:34.129848,0 days 00:02:01.739757,0.8998192056389559,0.9776503202796525,896,0.0004445027435278359,8,4,4.7123835077075716e-05,COMPLETE
423,423,0.008029005072962541,2024-04-30 12:37:32.129950,2024-04-30 12:52:49.550254,0 days 00:15:17.420304,0.8834557727797676,0.9535764384093718,896,0.0008625253265306115,8,3,4.72521918974102e-05,COMPLETE
424,424,0.032281764827313875,2024-04-30 12:37:50.812730,2024-04-30 12:39:30.258876,0 days 00:01:39.446146,0.8813716859796119,0.5310620929547407,896,0.0009413403591026098,8,3,4.303103897640403e-05,COMPLETE
425,425,0.007648885917337813,2024-04-30 12:38:02.278049,2024-04-30 14:11:44.912238,0 days 01:33:42.634189,0.882908815136035,0.9720840504594493,896,0.0008976570933325087,8,3,4.2947909003658465e-05,COMPLETE
426,426,0.009155755917021594,2024-04-30 12:38:34.212025,2024-04-30 12:40:39.983048,0 days 00:02:05.771023,0.8828952314960476,0.9713271189751757,1024,0.0009224867310768134,8,4,4.3331470581101e-05,COMPLETE
427,427,0.0541100971223343,2024-04-30 12:38:37.794160,2024-04-30 12:40:45.545830,0 days 00:02:07.751670,0.5493012223001019,0.9544028382573616,1024,0.0009289626304326173,8,3,4.27624106282036e-05,COMPLETE
428,428,0.008872038499327191,2024-04-30 12:39:30.330890,2024-04-30 12:41:28.632562,0 days 00:01:58.301672,0.884988800650715,0.9516300984262127,896,0.0008830461620616901,8,4,4.3803511610919394e-05,COMPLETE
429,429,0.008296942132730762,2024-04-30 12:39:37.828731,2024-04-30 12:43:19.209338,0 days 00:03:41.380607,0.8849752380798638,0.9536599789588801,896,0.0007895250576460997,8,4,4.3210322597209025e-05,COMPLETE
430,430,0.00848178778577483,2024-04-30 12:40:40.046713,2024-04-30 12:42:45.316449,0 days 00:02:05.269736,0.8713160276693948,0.9509693938434876,1024,0.0007378066322901069,8,4,4.699913251257274e-05,COMPLETE
431,431,0.00840689389446339,2024-04-30 12:40:45.625325,2024-04-30 12:43:00.256315,0 days 00:02:14.630990,0.8860118320846477,0.9587495249748283,896,0.0007415183683094289,8,4,4.680190351163835e-05,COMPLETE
432,432,0.008323659858307539,2024-04-30 12:41:28.705947,2024-04-30 12:43:29.595767,0 days 00:02:00.889820,0.8782612853100539,0.7666604571192374,1024,0.0007326081560359208,8,4,4.714185524918339e-05,COMPLETE
433,433,0.008322733270963936,2024-04-30 12:41:54.103901,2024-04-30 12:49:06.751099,0 days 00:07:12.647198,0.8780188335631947,0.9577094521031376,1024,0.000725286004436502,8,4,4.779602930590895e-05,COMPLETE
434,434,0.021117299162173944,2024-04-30 12:42:45.392943,2024-04-30 12:44:54.116263,0 days 00:02:08.723320,0.7304625213276735,0.961057882167667,1024,0.0007156854233187433,8,4,4.874924853271619e-05,COMPLETE
435,435,0.00894665958166316,2024-04-30 12:43:00.311583,2024-04-30 12:45:17.378503,0 days 00:02:17.066920,0.8745859126323459,0.9678309884622915,1024,0.0004413516591018062,8,4,4.986258857083984e-05,COMPLETE
436,436,0.03657667450929359,2024-04-30 12:43:19.487534,2024-04-30 12:46:54.042376,0 days 00:03:34.554842,0.8782122318112079,0.937733613756974,1024,0.008317505518959918,8,4,4.911626893620392e-05,COMPLETE
437,437,0.009889611095448078,2024-04-30 12:43:29.656038,2024-04-30 12:45:31.337959,0 days 00:02:01.681921,0.873229672899434,0.9422789200189075,1024,0.00043534067344075524,8,4,4.9674574723393604e-05,COMPLETE
